"nome_sala","dimensoes","area","pe_direito","valor_diaria_trf_balcao","valor_diaria_trf_especial_iss"
"Babaçu","16,00x11,00","176","03,10","3500.00","2500.00"
"Salão Buriti","07,00x11,00","77","03,10","1210.00","600.00"
"Canoas I e II","30,00x26,50","371","04,00","5000.00","2000.00"
"Canoas I","15,00x13,00","169","04,00","2500.00","1000.00"
"Canoas II","15,00x13,50","202","04,00","2500.00","1000.00"
"Carnaúba","07,00x11,00","77","04,00","1210.00","600.00"
"Coqueiro","07,00x11,00","77","30,10","1210.00","600.00"
"Foyer","","1080","20,00","6000.00","2000.00"
"IPÊ","11,70x14,00","164","04,00","2500.00","2000.00"
"Palmeira","07,00x11,00","77","03,10","1210.00","600.00"
"Poty","12,00x36,00","432","04,00","8000.00","3000.00"
"Tucum","07,00x11,00","77","03,10","1210.00","600.00"
"Aroeira","","24","","1000.00","400.00"
"Jenipapo","","49","","1210.00","600.00"
"Jatobá","","21","","2500.00","700.00"
"Sala VIP","","21","02,80","2000.00","1000.00"
