NCM;categoria;descricao;IPI;uTrib
29372210;PRODUTOS QUÍMICOS ORGÂNICOS;29372210 - DEXAMETASONA E SEUS ACETATOS;0;KG
29372221;PRODUTOS QUÍMICOS ORGÂNICOS;29372221 - ACETONIDA DA TRIANCINOLONA;0;KG
29372229;PRODUTOS QUÍMICOS ORGÂNICOS;29372229 - OUTROS TRIANCINOLONA E SEUS DERIVADOS;0;KG
29372231;PRODUTOS QUÍMICOS ORGÂNICOS;29372231 - VALERATO DE DIFLUCORTOLONA;0;KG
29372239;PRODUTOS QUÍMICOS ORGÂNICOS;29372239 - OUTROS DERIVADOS DE FLUOCORTOLONA;0;KG
29372290;PRODUTOS QUÍMICOS ORGÂNICOS;29372290 - OUTS DER.HAL.D/HORM.CORTICOSSUPRA-RENAIS;0;KG
29372310;PRODUTOS QUÍMICOS ORGÂNICOS;29372310 - MEDROXIPROGESTERONA E SEUS DERIVADOS;0;KG
29372321;PRODUTOS QUÍMICOS ORGÂNICOS;29372321 - L-NORGESTREL (LEVONORGESTREL);0;KG
29372322;PRODUTOS QUÍMICOS ORGÂNICOS;29372322 - DL-NORGESTREL;0;KG
29372329;PRODUTOS QUÍMICOS ORGÂNICOS;29372329 - OUTS.COMP.DO NORGESTREL E SEUS DERIVADOS;0;KG
29372331;PRODUTOS QUÍMICOS ORGÂNICOS;29372331 - ESTRIOL E SEU SUCCINATO;0;KG
29372339;PRODUTOS QUÍMICOS ORGÂNICOS;29372339 - OUTROS ÉSTERES E SAIS DO ESTRIOL;0;KG
29372341;PRODUTOS QUÍMICOS ORGÂNICOS;29372341 - HEMISSUCCINATO DE ESTRADIOL;0;KG
29372342;PRODUTOS QUÍMICOS ORGÂNICOS;29372342 - FEMPROP.D/ESTRADIOL(17-(3 FENIL.)DE ESTRADIOL);0;KG
29372349;PRODUTOS QUÍMICOS ORGÂNICOS;29372349 - OUTS.ÉSTERES,SAIS,DERIVAD.DE ESTR.,ESTRADIOL;0;KG
29372351;PRODUTOS QUÍMICOS ORGÂNICOS;29372351 - ALILESTRENOL;0;KG
29372359;PRODUTOS QUÍMICOS ORGÂNICOS;29372359 - OUTROS ÉSTERES E SAIS DO ALILESTRENOL;0;KG
29372360;PRODUTOS QUÍMICOS ORGÂNICOS;29372360 - DESOGESTREL;0;KG
29372370;PRODUTOS QUÍMICOS ORGÂNICOS;29372370 - LINESTRENOL;0;KG
29372391;PRODUTOS QUÍMICOS ORGÂNICOS;29372391 - ACETATO DE ETINODIOL;0;KG
29372392;PRODUTOS QUÍMICOS ORGÂNICOS;29372392 - GESTODENO;0;KG
29372399;PRODUTOS QUÍMICOS ORGÂNICOS;29372399 - OUTROS ESTROGÊNIOS E PROGESTOGÊNIOS;0;KG
29372910;PRODUTOS QUÍMICOS ORGÂNICOS;29372910 - METILPREDNISOLONA E SEUS DERIVADOS;0;KG
29372920;PRODUTOS QUÍMICOS ORGÂNICOS;29372920 - 21-SUCCINATO SÓDICO DE HIDROCORTISONA;0;KG
29372931;PRODUTOS QUÍMICOS ORGÂNICOS;29372931 - ACETATO DE CIPROTERONA;0;KG
29372939;PRODUTOS QUÍMICOS ORGÂNICOS;29372939 - OUTS.COMP.DE CIPROTERONA E SEUS DERIVADOS;0;KG
29372940;PRODUTOS QUÍMICOS ORGÂNICOS;29372940 - MESTEROLONA E SEUS DERIVADOS;0;KG
29372950;PRODUTOS QUÍMICOS ORGÂNICOS;29372950 - ESPIRONOLACTONA;0;KG
29372960;PRODUTOS QUÍMICOS ORGÂNICOS;29372960 - DEFLAZACORTE;0;KG
29372990;PRODUTOS QUÍMICOS ORGÂNICOS;29372990 - OUTS.HORM.CORTICOSSUPRA-RENAIS,DERIVADOS;0;KG
29375000;PRODUTOS QUÍMICOS ORGÂNICOS;29375000 - PROSTAGLANDINAS,TROMBOXANAS ,LEUCOTRIENOS;0;KG
29379010;PRODUTOS QUÍMICOS ORGÂNICOS;29379010 - TIRATRICOL (TRIAC) E SEU SAL SÓDICO;0;KG
29379030;PRODUTOS QUÍMICOS ORGÂNICOS;29379030 - LEVOTIROXINA SÓDICA;0;KG
29379040;PRODUTOS QUÍMICOS ORGÂNICOS;29379040 - LIOTIRONINA SÓDICA;0;KG
29379090;PRODUTOS QUÍMICOS ORGÂNICOS;29379090 - OUTROS;0;KG
29381000;PRODUTOS QUÍMICOS ORGÂNICOS;29381000 - RUTOSÍDIO (RUTINA) E SEUS DERIVADOS;0;KG
29389010;PRODUTOS QUÍMICOS ORGÂNICOS;29389010 - DESLANOSÍDIO;0;KG
29389020;PRODUTOS QUÍMICOS ORGÂNICOS;29389020 - ESTEVIOSÍDIO;0;KG
29389090;PRODUTOS QUÍMICOS ORGÂNICOS;29389090 - OUTS.HETEROSÍDIOS,SAIS,ÉTERES,ÉSTERES, DER.;0;KG
29391110;PRODUTOS QUÍMICOS ORGÂNICOS;29391110 - CONCENTRADOS DE PALHA DE PAPOULA;0;KG
29391121;PRODUTOS QUÍMICOS ORGÂNICOS;29391121 - BUPRENORFINA E SEUS SAIS;0;KG
29391122;PRODUTOS QUÍMICOS ORGÂNICOS;29391122 - CODEÍNA E SEUS SAIS;0;KG
29391123;PRODUTOS QUÍMICOS ORGÂNICOS;29391123 - DIIDROCODEÍNA E SEUS SAIS;0;KG
29391131;PRODUTOS QUÍMICOS ORGÂNICOS;29391131 - ETILMORFINA E SEUS SAIS;0;KG
29391132;PRODUTOS QUÍMICOS ORGÂNICOS;29391132 - ETORFINA E SEUS SAIS;0;KG
29391140;PRODUTOS QUÍMICOS ORGÂNICOS;29391140 - FOLCODINA E SEUS SAIS;0;KG
29391151;PRODUTOS QUÍMICOS ORGÂNICOS;29391151 - HEROÍNA E SEUS SAIS;0;KG
29391152;PRODUTOS QUÍMICOS ORGÂNICOS;29391152 - HIDROCODONA E SEUS SAIS;0;KG
29391153;PRODUTOS QUÍMICOS ORGÂNICOS;29391153 - HIDROMORFONA E SEUS SAIS;0;KG
29391161;PRODUTOS QUÍMICOS ORGÂNICOS;29391161 - MORFINA;0;KG
29391162;PRODUTOS QUÍMICOS ORGÂNICOS;29391162 - CLORIDRATO E SULFATO DE MORFINA;0;KG
29391169;PRODUTOS QUÍMICOS ORGÂNICOS;29391169 - OUTROS DERIVADOS DE MORFINA E SEUS SAIS;0;KG
29391170;PRODUTOS QUÍMICOS ORGÂNICOS;29391170 - NICOMORFINA E SEUS SAIS;0;KG
29391181;PRODUTOS QUÍMICOS ORGÂNICOS;29391181 - OXICODONA E SEUS SAIS;0;KG
29391182;PRODUTOS QUÍMICOS ORGÂNICOS;29391182 - OXIMORFONA E SEUS SAIS;0;KG
29391191;PRODUTOS QUÍMICOS ORGÂNICOS;29391191 - TEBACONA E SEUS SAIS;0;KG
29391192;PRODUTOS QUÍMICOS ORGÂNICOS;29391192 - TEBAÍNA E SEUS SAIS;0;KG
29391900;PRODUTOS QUÍMICOS ORGÂNICOS;29391900 - OUTS.COMP.D/ALCALÓIDES D/ÓPIO,DERIV.E SAIS;0;KG
29392000;PRODUTOS QUÍMICOS ORGÂNICOS;29392000 - ALCALÓIDES DA QUINA SEUS DERIVADOS E SAIS;0;KG
29393010;PRODUTOS QUÍMICOS ORGÂNICOS;29393010 - CAFEÍNA;0;KG
29393020;PRODUTOS QUÍMICOS ORGÂNICOS;29393020 - SAIS DA CAFEÍNA;0;KG
29394100;PRODUTOS QUÍMICOS ORGÂNICOS;29394100 - EFEDRINA E SEUS SAIS;0;KG
29394200;PRODUTOS QUÍMICOS ORGÂNICOS;29394200 - PSEUDOEFEDRINA E SEUS SAIS;0;KG
29394300;PRODUTOS QUÍMICOS ORGÂNICOS;29394300 - CATINA (DCI) E SEUS SAIS;0;KG
29394400;PRODUTOS QUÍMICOS ORGÂNICOS;29394400 - NOREFEDRINA E SEUS SAÍS;0;KG
29394900;PRODUTOS QUÍMICOS ORGÂNICOS;29394900 - OUTROS COMPOSTOS EFEDRINAS E SEUS SAIS;0;KG
29395100;PRODUTOS QUÍMICOS ORGÂNICOS;29395100 - FENETILINA (DCI) E SEUS SAIS;0;KG
29395910;PRODUTOS QUÍMICOS ORGÂNICOS;29395910 - TEOFILINA;0;KG
29395920;PRODUTOS QUÍMICOS ORGÂNICOS;29395920 - AMINOFILINA;0;KG
29395990;PRODUTOS QUÍMICOS ORGÂNICOS;29395990 - OUTS.COMP.TEOFILINA E AMINOFILINA,DERIV.E SAIS;0;KG
29396100;PRODUTOS QUÍMICOS ORGÂNICOS;29396100 - ERGOMETRINA E SEUS SAIS;0;KG
29396200;PRODUTOS QUÍMICOS ORGÂNICOS;29396200 - ERGOTAMINA E SEUS SAIS;0;KG
29396300;PRODUTOS QUÍMICOS ORGÂNICOS;29396300 - ÁCIDO LISÉRGICO E SEUS SAIS;0;KG
29396911;PRODUTOS QUÍMICOS ORGÂNICOS;29396911 - MALEATO DE METILERGOMETRINA;0;KG
29396919;PRODUTOS QUÍMICOS ORGÂNICOS;29396919 - OUTS.DERIVADOS DA ERGOMETRINA E SEUS SAIS;0;KG
29396921;PRODUTOS QUÍMICOS ORGÂNICOS;29396921 - MESILATO DE DIIDROERGOTAMINA;0;KG
